Food code;Main food description;WWEIA Category number;WWEIA Category description;Energy (kcal);Protein (g);Carbohydrate (g);"Sugars, total (g)";Fiber, total dietary (g);Total Fat (g);Fatty acids, total saturated (g);Fatty acids, total monounsaturated (g);Fatty acids, total polyunsaturated (g);Cholesterol (mg);Retinol (mcg);Vitamin A, RAE (mcg_RAE);Carotene, alpha (mcg);Carotene, beta (mcg);Cryptoxanthin, beta (mcg);Lycopene (mcg);Lutein + zeaxanthin (mcg);Thiamin (mg);Riboflavin (mg);Niacin (mg);Vitamin B-6 (mg);Folic acid (mcg);Folate, food (mcg);Folate, DFE (mcg_DFE);Folate, total (mcg);Choline, total (mg);Vitamin B-12 (mcg);"Vitamin B-12, added (mcg)";Vitamin C (mg);Vitamin D (D2 + D3) (mcg);Vitamin E (alpha-tocopherol) (mg);"Vitamin E, added (mg)";Vitamin K (phylloquinone) (mcg);Calcium (mg);Phosphorus (mg);Magnesium (mg);"Iron (mg)";"Zinc (mg)";Copper (mg);Selenium (mcg);Potassium (mg);Sodium (mg);Caffeine (mg);Theobromine (mg);Alcohol (g);"4:0 (g)";"6:0(g)";"8:0(g)";"10:0(g)";"12:0(g)";"14:0(g)";"16:0(g)";"18:0(g)";"16:1(g)";"18:1(g)";"20:1(g)";"22:1(g)";"18:2(g)";"18:3(g)";"18:4(g)";"20:4(g)";"20:5 n-3(g)";"22:5 n-3(g)";"22:6 n-3(g)";"Water(g)"
26125130;Ocean perch, coated, baked or broiled, fat added;2402;Fish;192;16.58;12.51;1.1;0.6;7.92;1.291;2.991;2.851;50;17;17;0;1;0;0;2;0.15;0.125;1.802;0.079;13;11;34;24;64.2;1.32;0;0;1.3;1.4;0;7.5;57;266;28;0.98;0.49;0.052;31.7;218;368;0;0;0;0.005;0.004;0.003;0.007;0.009;0.08;0.836;0.292;0.096;2.679;0.166;0.027;2.291;0.323;0.007;0.009;0.058;0.009;0.143;61.95
26125131;Ocean perch, coated, baked or broiled, no added fat;2402;Fish;147;17.36;13.1;1.15;0.6;2.27;0.527;0.607;0.503;52;18;18;0;1;0;0;2;0.157;0.131;1.887;0.082;14;11;35;25;67.2;1.39;0;0;1.3;0.76;0;0.8;60;278;29;1.01;0.52;0.054;33.2;229;385;0;0;0;0.006;0.004;0.003;0.007;0.01;0.084;0.288;0.112;0.079;0.328;0.15;0.028;0.221;0.033;0.008;0.009;0.061;0.01;0.149;66.19
26125140;Ocean perch, coated, fried;2402;Fish;212;16.07;9.85;0.88;0.6;11.64;1.883;4.538;4.308;79;24;24;0;0;1;0;48;0.131;0.129;1.674;0.086;7;12;25;20;80.9;1.27;0;0;1.2;1.78;0;11.4;54;253;27;1.03;0.57;0.06;30.7;200;395;0;0;0;0;0;0;0.001;0.002;0.055;1.284;0.467;0.116;4.2;0.168;0.025;3.575;0.485;0.007;0.025;0.053;0.009;0.136;61.32
26125160;Ocean perch, steamed or poached;2402;Fish;99;19.25;0;0;0;1.94;0.343;0.597;0.382;65;12;12;0;0;0;0;0;0.04;0.054;1.074;0.073;0;9;9;9;81.7;1.6;0;0;1.5;0.96;0;0.1;36;281;26;0.28;0.36;0.026;36;200;407;0;0;0;0;0;0;0;0.003;0.075;0.195;0.058;0.097;0.236;0.192;0.036;0.04;0.02;0.01;0.011;0.078;0.013;0.192;77.88
26127110;Perch, cooked, NS as to cooking method;2402;Fish;222;19.55;9.86;0.88;0.6;11.11;1.807;4.262;4.362;112;22;22;0;0;1;0;48;0.152;0.171;2.114;0.122;7;9;22;17;80.9;1.58;0;1.2;2.7;1.3;0;11.4;99;212;33;1.61;1.27;0.17;17.1;270;384;0;0;0;0;0;0;0.001;0;0.014;1.271;0.454;0.099;4.099;0.058;0;3.557;0.482;0.007;0.062;0.067;0.025;0.154;57.95
26127120;Perch, baked or broiled, made with oil;2402;Fish;145;23.71;0.1;0.04;0;4.9;0.743;1.766;2.004;110;10;10;0;0;0;0;0;0.077;0.116;1.766;0.133;0;6;6;6;79.5;2.09;0;2.2;3.7;0.69;0;4.6;98;245;37;1.11;1.36;0.184;15.4;330;389;0;0;0;0;0;0;0;0;0.016;0.539;0.159;0.083;1.636;0.045;0;1.376;0.206;0.01;0.064;0.097;0.034;0.213;69.81
26127121;Perch, baked or broiled, made with butter;2402;Fish;139;23.74;0.1;0.04;0;4.19;2.165;0.979;0.565;118;35;36;0;6;0;0;0;0.078;0.118;1.768;0.133;0;6;6;6;80.2;2.1;0;2.2;3.7;0.33;0;0.4;99;245;37;1.1;1.36;0.184;15.4;331;413;0;0;0;0.122;0.076;0.045;0.096;0.098;0.296;0.99;0.415;0.106;0.839;0.033;0;0.117;0.027;0.01;0.064;0.097;0.034;0.213;70.42
26127122;Perch, baked or broiled, made with margarine;2402;Fish;133;23.71;0.13;0.04;0;3.58;0.712;1.1;1.428;110;39;41;0;23;0;0;0;0.078;0.117;1.767;0.239;0;6;6;6;79.9;2.09;0;2.2;3.8;0.93;0;3.9;99;245;37;1.1;1.36;0.184;15.4;331;415;0;0;0;0;0;0;0.002;0.006;0.021;0.431;0.231;0.072;0.99;0.036;0;0.895;0.111;0.01;0.064;0.097;0.034;0.213;71.03
26127123;Perch, baked or broiled, no added fat;2402;Fish;115;24.42;0.1;0.04;0;1.16;0.234;0.192;0.464;113;10;10;0;0;0;0;0;0.08;0.12;1.82;0.137;0;6;6;6;81.9;2.15;0;2.2;3.8;0.25;0;0.1;101;252;38;1.14;1.4;0.189;15.9;340;400;0;0;0;0;0;0;0;0;0.016;0.176;0.039;0.072;0.088;0.03;0;0.014;0.015;0.01;0.065;0.099;0.035;0.219;72.78
26127124;Perch, baked or broiled, made with cooking spray;2402;Fish;118;24.33;0.2;0.04;0;1.55;0.258;0.439;0.572;113;10;10;0;0;0;0;0;0.079;0.119;1.813;0.136;0;6;6;6;81.6;2.14;0;2.2;3.8;0.25;0;0.1;101;251;38;1.13;1.39;0.188;15.8;339;399;0;0;0;0;0;0;0;0;0.016;0.193;0.047;0.072;0.33;0.035;0;0.088;0.051;0.01;0.065;0.099;0.035;0.218;72.39
