Food code;Main food description;WWEIA Category number;WWEIA Category description;Energy (kcal);Protein (g);Carbohydrate (g);"Sugars, total (g)";Fiber, total dietary (g);Total Fat (g);Fatty acids, total saturated (g);Fatty acids, total monounsaturated (g);Fatty acids, total polyunsaturated (g);Cholesterol (mg);Retinol (mcg);Vitamin A, RAE (mcg_RAE);Carotene, alpha (mcg);Carotene, beta (mcg);Cryptoxanthin, beta (mcg);Lycopene (mcg);Lutein + zeaxanthin (mcg);Thiamin (mg);Riboflavin (mg);Niacin (mg);Vitamin B-6 (mg);Folic acid (mcg);Folate, food (mcg);Folate, DFE (mcg_DFE);Folate, total (mcg);Choline, total (mg);Vitamin B-12 (mcg);"Vitamin B-12, added (mcg)";Vitamin C (mg);Vitamin D (D2 + D3) (mcg);Vitamin E (alpha-tocopherol) (mg);"Vitamin E, added (mg)";Vitamin K (phylloquinone) (mcg);Calcium (mg);Phosphorus (mg);Magnesium (mg);"Iron (mg)";"Zinc (mg)";Copper (mg);Selenium (mcg);Potassium (mg);Sodium (mg);Caffeine (mg);Theobromine (mg);Alcohol (g);"4:0 (g)";"6:0(g)";"8:0(g)";"10:0(g)";"12:0(g)";"14:0(g)";"16:0(g)";"18:0(g)";"16:1(g)";"18:1(g)";"20:1(g)";"22:1(g)";"18:2(g)";"18:3(g)";"18:4(g)";"20:4(g)";"20:5 n-3(g)";"22:5 n-3(g)";"22:6 n-3(g)";"Water(g)"
11710665;Infant formula, NS as to form (Enfamil EnfaCare);9402;Formula, ready-to-feed;71;2;7.4;7.4;0;3.8;1.578;1.33;0.862;1;58;58;0;0;0;0;0;0.141;0.141;1.423;0.071;19;0;31;19;17.3;0.21;0.21;11.3;1.4;1.32;1.32;5.7;86;47;6;1.28;0.88;0.086;2;75;25;0;0;0;0;0.01;0.585;0.24;0.27;0.11;0.228;0.121;0;1.33;0;0;0.673;0.067;0;0.024;0;0;0.012;86
11710666;Infant formula, ready-to-feed (Enfamil EnfaCare);9402;Formula, ready-to-feed;71;2;7.4;7.4;0;3.8;1.578;1.33;0.862;1;58;58;0;0;0;0;0;0.141;0.141;1.423;0.071;19;0;31;19;17.3;0.21;0.21;11.3;1.4;1.32;1.32;5.7;86;47;6;1.28;0.88;0.086;2;75;25;0;0;0;0;0.01;0.585;0.24;0.27;0.11;0.228;0.121;0;1.33;0;0;0.673;0.067;0;0.024;0;0;0.012;86
11710667;Infant formula, powder, made with water, NFS (Enfamil EnfaCare);9404;Formula, prepared from powder;71;2;7.4;7.4;0;3.8;1.578;1.33;0.862;1;58;58;0;0;0;0;0;0.141;0.141;1.423;0.071;19;0;31;19;17.3;0.21;0.21;11.3;1.4;1.32;1.32;5.7;86;47;6;1.28;0.88;0.086;2;75;25;0;0;0;0;0.01;0.585;0.24;0.27;0.11;0.228;0.121;0;1.33;0;0;0.673;0.067;0;0.024;0;0;0.012;86
11710668;Infant formula, powder, made with plain bottled water (Enfamil A.R.);9404;Formula, prepared from powder;65;1.6;7.43;7.25;0;3.24;1.359;1.113;0.608;0;58;58;0;0;0;0;0;0.053;0.092;0.658;0.04;10;0;18;10;15.4;0.2;0.2;7.8;1;0.58;0.58;5.8;59;34;7;1.18;0.66;0.056;1.8;70;28;0;0;0;0;0.005;0.052;0.039;0.285;0.127;0.712;0.12;0.005;1.1;0.005;0;0.453;0.045;0;0.022;0;0;0.011;87.33
11710669;Infant formula, powder, made with baby water (Enfamil A.R.);9404;Formula, prepared from powder;65;1.6;7.43;7.25;0;3.24;1.359;1.113;0.608;0;58;58;0;0;0;0;0;0.053;0.092;0.658;0.04;10;0;18;10;15.4;0.2;0.2;7.8;1;0.58;0.58;5.8;50;34;5;1.18;0.66;0.049;1.8;70;26;0;0;0;0;0.005;0.052;0.039;0.285;0.127;0.712;0.12;0.005;1.1;0.005;0;0.453;0.045;0;0.022;0;0;0.011;87.26
11710670;Infant formula, NS as to form (Enfamil Gentlease);9402;Formula, ready-to-feed;67;1.53;7.25;7.25;0;3.49;1.508;1.308;0.656;0;60;60;0;0;0;0;0;0.053;0.093;0.66;0.04;11;0;18;11;15.8;0.2;0.2;8;1;0.6;0.6;6;57;31;6;1.2;0.67;0.059;1.9;72;27;0;0;0;0;0.01;0.06;0.04;0.32;0.14;0.799;0.14;0.01;1.288;0.01;0;0.569;0.053;0;0.023;0;0;0.011;87.31
11710671;Infant formula, ready-to-feed (Enfamil Gentlease);9402;Formula, ready-to-feed;67;1.53;7.25;7.25;0;3.49;1.508;1.308;0.656;0;60;60;0;0;0;0;0;0.053;0.093;0.66;0.04;11;0;18;11;15.8;0.2;0.2;8;1;0.6;0.6;6;57;31;6;1.2;0.67;0.059;1.9;72;27;0;0;0;0;0.01;0.06;0.04;0.32;0.14;0.799;0.14;0.01;1.288;0.01;0;0.569;0.053;0;0.023;0;0;0.011;87.31
11710673;Infant formula, powder, made with water, NFS (Enfamil Gentlease);9404;Formula, prepared from powder;67;1.53;7.25;7.25;0;3.49;1.508;1.308;0.656;0;60;60;0;0;0;0;0;0.053;0.093;0.66;0.04;11;0;18;11;15.8;0.2;0.2;8;1;0.6;0.6;6;57;31;6;1.2;0.67;0.059;1.9;72;27;0;0;0;0;0.01;0.06;0.04;0.32;0.14;0.799;0.14;0.01;1.288;0.01;0;0.569;0.053;0;0.023;0;0;0.011;87.31
11710674;Infant formula, powder, made with tap water (Enfamil EnfaCare);9404;Formula, prepared from powder;71;2;7.4;7.4;0;3.8;1.578;1.33;0.862;1;58;58;0;0;0;0;0;0.141;0.141;1.423;0.071;19;0;31;19;17.3;0.21;0.21;11.3;1.4;1.32;1.32;5.7;86;47;6;1.28;0.88;0.086;2;75;25;0;0;0;0;0.01;0.585;0.24;0.27;0.11;0.228;0.121;0;1.33;0;0;0.673;0.067;0;0.024;0;0;0.012;86
11710675;Infant formula, powder, made with plain bottled water (Enfamil EnfaCare);9404;Formula, prepared from powder;71;2;7.4;7.4;0;3.8;1.578;1.33;0.862;1;58;58;0;0;0;0;0;0.141;0.141;1.423;0.071;19;0;31;19;17.3;0.21;0.21;11.3;1.4;1.32;1.32;5.7;86;47;6;1.28;0.88;0.086;2;75;25;0;0;0;0;0.01;0.585;0.24;0.27;0.11;0.228;0.121;0;1.33;0;0;0.673;0.067;0;0.024;0;0;0.012;86
11710676;Infant formula, powder, made with baby water (Enfamil EnfaCare);9404;Formula, prepared from powder;71;2;7.4;7.4;0;3.8;1.578;1.33;0.862;1;58;58;0;0;0;0;0;0.141;0.141;1.423;0.071;19;0;31;19;17.3;0.21;0.21;11.3;1.4;1.32;1.32;5.7;86;47;6;1.28;0.88;0.086;2;75;25;0;0;0;0;0.01;0.585;0.24;0.27;0.11;0.228;0.121;0;1.33;0;0;0.673;0.067;0;0.024;0;0;0.012;86
11710677;Infant formula, powder, made with tap water (Enfamil Gentlease);9404;Formula, prepared from powder;67;1.53;7.25;7.25;0;3.49;1.508;1.308;0.656;0;60;60;0;0;0;0;0;0.053;0.093;0.66;0.04;11;0;18;11;15.8;0.2;0.2;8;1;0.6;0.6;6;57;31;6;1.2;0.67;0.059;1.9;72;27;0;0;0;0;0.01;0.06;0.04;0.32;0.14;0.799;0.14;0.01;1.288;0.01;0;0.569;0.053;0;0.023;0;0;0.011;87.31
11710678;Infant formula, powder, made with plain bottled water (Enfamil Gentlease);9404;Formula, prepared from powder;67;1.53;7.25;7.25;0;3.49;1.508;1.308;0.656;0;60;60;0;0;0;0;0;0.053;0.093;0.66;0.04;11;0;18;11;15.8;0.2;0.2;8;1;0.6;0.6;6;63;31;7;1.2;0.66;0.057;1.9;72;26;0;0;0;0;0.01;0.06;0.04;0.32;0.14;0.799;0.14;0.01;1.288;0.01;0;0.569;0.053;0;0.023;0;0;0.011;87.38
11710679;Infant formula, powder, made with baby water (Enfamil Gentlease);9404;Formula, prepared from powder;67;1.53;7.25;7.25;0;3.49;1.508;1.308;0.656;0;60;60;0;0;0;0;0;0.053;0.093;0.66;0.04;11;0;18;11;15.8;0.2;0.2;8;1;0.6;0.6;6;54;31;5;1.2;0.66;0.05;1.9;72;24;0;0;0;0;0.01;0.06;0.04;0.32;0.14;0.799;0.14;0.01;1.288;0.01;0;0.569;0.053;0;0.023;0;0;0.011;87.31
11710680;Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions);9402;Formula, ready-to-feed;66;1.72;7.4;7;0;3.55;1.512;1.325;0.719;1;60;60;0;0;0;0;0;0.066;0.099;0.7;0.04;11;0;18;11;15.7;0.2;0.2;5.9;1;0.59;0.59;0;82;55;6;1.19;0.6;0.068;1.8;86;31;0;0;0;0;0.004;0.055;0.042;0.33;0.147;0.779;0.147;0.004;1.321;0;0;0.608;0.059;0.018;0.023;0;0;0.011;87.1
11710681;Infant formula, ready-to-feed (Enfamil Enfragrow Toddler Transitions);9402;Formula, ready-to-feed;66;1.72;7.4;7;0;3.55;1.512;1.325;0.719;1;60;60;0;0;0;0;0;0.066;0.099;0.7;0.04;11;0;18;11;15.7;0.2;0.2;5.9;1;0.59;0.59;0;82;55;6;1.19;0.6;0.068;1.8;86;31;0;0;0;0;0.004;0.055;0.042;0.33;0.147;0.779;0.147;0.004;1.321;0;0;0.608;0.059;0.018;0.023;0;0;0.011;87.1
11710683;Infant formula, powder, made with water, NFS (Enfamil Enfragrow Toddler Transitions);9404;Formula, prepared from powder;117;3.03;13.06;12.36;0;6.27;2.67;2.339;1.27;2;106;106;0;0;0;0;0;0.117;0.175;1.236;0.07;19;0;32;19;27.7;0.35;0.35;10.5;1.7;1.05;1.05;0;142;98;10;2.1;1.06;0.113;3.3;152;52;0;0;0;0;0.007;0.098;0.075;0.583;0.259;1.376;0.259;0.007;2.332;0;0;1.073;0.105;0.032;0.04;0;0;0.02;77.31
11710687;Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions);9404;Formula, prepared from powder;66;1.72;7.4;7;0;3.55;1.512;1.325;0.719;1;60;60;0;0;0;0;0;0.066;0.099;0.7;0.04;11;0;18;11;15.7;0.2;0.2;5.9;1;0.59;0.59;0;82;55;6;1.19;0.6;0.068;1.8;86;31;0;0;0;0;0.004;0.055;0.042;0.33;0.147;0.779;0.147;0.004;1.321;0;0;0.608;0.059;0.018;0.023;0;0;0.011;87.1
11710688;Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions);9404;Formula, prepared from powder;66;1.72;7.4;7;0;3.55;1.512;1.325;0.719;1;60;60;0;0;0;0;0;0.066;0.099;0.7;0.04;11;0;18;11;15.7;0.2;0.2;5.9;1;0.59;0.59;0;88;55;7;1.19;0.59;0.066;1.8;86;29;0;0;0;0;0.004;0.055;0.042;0.33;0.147;0.779;0.147;0.004;1.321;0;0;0.608;0.059;0.018;0.023;0;0;0.011;87.17
11710689;Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions);9404;Formula, prepared from powder;66;1.72;7.4;7;0;3.55;1.512;1.325;0.719;1;60;60;0;0;0;0;0;0.066;0.099;0.7;0.04;11;0;18;11;15.7;0.2;0.2;5.9;1;0.59;0.59;0;79;55;5;1.19;0.59;0.059;1.8;86;28;0;0;0;0;0.004;0.055;0.042;0.33;0.147;0.779;0.147;0.004;1.321;0;0;0.608;0.059;0.018;0.023;0;0;0.011;87.1
11710690;Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Gentlease);9402;Formula, ready-to-feed;65;1.7;6.87;6.87;0;3.43;1.553;0.031;0.722;0;60;60;0;0;0;0;0;0.053;0.092;0.66;0.04;11;0;18;11;15.7;0.2;0.2;7.9;1;0.59;0.59;5.9;131;86;6;1.31;0.67;0.058;1.8;86;30;0;0;0;0;0.01;0.061;0.041;0.335;0.152;0.803;0.152;0.01;0;0.01;0.01;0.63;0.061;0;0.02;0;0;0.01;87.3
11710693;Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Gentlease);9404;Formula, prepared from powder;65;1.7;6.87;6.87;0;3.43;1.553;0.031;0.722;0;60;60;0;0;0;0;0;0.053;0.092;0.66;0.04;11;0;18;11;15.7;0.2;0.2;7.9;1;0.59;0.59;5.9;131;86;6;1.31;0.67;0.058;1.8;86;30;0;0;0;0;0.01;0.061;0.041;0.335;0.152;0.803;0.152;0.01;0;0.01;0.01;0.63;0.061;0;0.02;0;0;0.01;87.3
11710697;Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions Gentlease);9404;Formula, prepared from powder;65;1.7;6.87;6.87;0;3.43;1.553;0.031;0.722;0;60;60;0;0;0;0;0;0.053;0.092;0.66;0.04;11;0;18;11;15.7;0.2;0.2;7.9;1;0.59;0.59;5.9;131;86;6;1.31;0.67;0.058;1.8;86;30;0;0;0;0;0.01;0.061;0.041;0.335;0.152;0.803;0.152;0.01;0;0.01;0.01;0.63;0.061;0;0.02;0;0;0.01;87.3
11710698;Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease);9404;Formula, prepared from powder;65;1.7;6.87;6.87;0;3.43;1.553;0.031;0.722;0;60;60;0;0;0;0;0;0.053;0.092;0.66;0.04;11;0;18;11;15.7;0.2;0.2;7.9;1;0.59;0.59;5.9;137;86;7;1.31;0.66;0.055;1.8;86;28;0;0;0;0;0.01;0.061;0.041;0.335;0.152;0.803;0.152;0.01;0;0.01;0.01;0.63;0.061;0;0.02;0;0;0.01;87.37
11710699;Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions Gentlease);9404;Formula, prepared from powder;65;1.7;6.87;6.87;0;3.43;1.553;0.031;0.722;0;60;60;0;0;0;0;0;0.053;0.092;0.66;0.04;11;0;18;11;15.7;0.2;0.2;7.9;1;0.59;0.59;5.9;128;86;5;1.31;0.66;0.049;1.8;86;26;0;0;0;0;0.01;0.061;0.041;0.335;0.152;0.803;0.152;0.01;0;0.01;0.01;0.63;0.061;0;0.02;0;0;0.01;87.3
11710800;Infant formula, NS as to form (PediaSure);9402;Formula, ready-to-feed;99;2.86;11.15;10.5;0;4.77;1.256;1.936;1.068;2;74;74;0;0;0;0;0;0.258;0.201;1.614;0.248;36;0;60;35;29;0.57;0.57;9.5;1.2;1.46;1.46;3.6;93;76;19;1.34;1.15;0.095;2.2;125;36;0;0;0;0;0;0.503;0.349;0.013;0.009;0.26;0.122;0.004;1.921;0.011;0;0.975;0.092;0;0;0;0;0;80.47
11710801;Infant formula, ready-to-feed (PediaSure);9402;Formula, ready-to-feed;99;2.86;11.15;10.5;0;4.77;1.256;1.936;1.068;2;74;74;0;0;0;0;0;0.258;0.201;1.614;0.248;36;0;60;35;29;0.57;0.57;9.5;1.2;1.46;1.46;3.6;93;76;19;1.34;1.15;0.095;2.2;125;36;0;0;0;0;0;0.503;0.349;0.013;0.009;0.26;0.122;0.004;1.921;0.011;0;0.975;0.092;0;0;0;0;0;80.47
11710805;Infant formula, with fiber, NS as to form (PediaSure Fiber);9402;Formula, ready-to-feed;99;2.8;11.28;7.6;0.5;4.7;1.256;1.936;1.067;2;46;46;0;0;0;0;0;0.256;0.2;0.96;0.248;28;0;48;28;28.4;0.56;0.56;9.6;1.2;1.46;1.46;5.6;92;80;19;1.32;0.56;0.106;3;124;36;0;0;0;0;0;0.503;0.349;0.013;0.009;0.26;0.122;0.004;1.921;0.011;0;0.975;0.092;0;0;0;0;0;80.47
11710806;Infant formula, with fiber, ready-to-feed (PediaSure Fiber);9402;Formula, ready-to-feed;99;2.8;11.28;7.6;0.5;4.7;1.256;1.936;1.067;2;46;46;0;0;0;0;0;0.256;0.2;0.96;0.248;28;0;48;28;28.4;0.56;0.56;9.6;1.2;1.46;1.46;5.6;92;80;19;1.32;0.56;0.106;3;124;36;0;0;0;0;0;0.503;0.349;0.013;0.009;0.26;0.122;0.004;1.921;0.011;0;0.975;0.092;0;0;0;0;0;80.47
11710910;Infant formula, NS as to form (Gerber Good Start Gentle);9402;Formula, ready-to-feed;67;1.48;7.45;7.45;0;3.41;1.429;1.24;0.661;0;61;61;0;0;0;0;0;0.067;0.094;0.703;0.05;10;0;17;10;16.1;0.22;0.22;6.7;1;0.59;0.59;5.4;47;25;6;1.01;0.55;0.062;2;72;22;0;0;0;0;0.009;0.057;0.038;0.303;0.133;0.757;0.133;0.01;1.221;0.009;0;0.568;0.064;0;0.019;0;0;0.009;87.1
11710911;Infant formula, ready-to-feed (Gerber Good Start Gentle);9402;Formula, ready-to-feed;67;1.48;7.45;7.45;0;3.41;1.429;1.24;0.661;0;61;61;0;0;0;0;0;0.067;0.094;0.703;0.05;10;0;17;10;16.1;0.22;0.22;6.7;1;0.59;0.59;5.4;47;25;6;1.01;0.55;0.062;2;72;22;0;0;0;0;0.009;0.057;0.038;0.303;0.133;0.757;0.133;0.01;1.221;0.009;0;0.568;0.064;0;0.019;0;0;0.009;87.1
11710912;Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Gentle);9406;Formula, prepared from concentrate;67;1.48;7.45;7.45;0;3.41;1.429;1.24;0.661;0;61;61;0;0;0;0;0;0.067;0.094;0.703;0.05;10;0;17;10;16.1;0.22;0.22;6.7;1;0.59;0.59;5.4;47;25;6;1.01;0.55;0.062;2;72;22;0;0;0;0;0.009;0.057;0.038;0.303;0.133;0.757;0.133;0.01;1.221;0.009;0;0.568;0.064;0;0.019;0;0;0.009;87.1
11710913;Infant formula, powder, made with water, NFS (Gerber Good Start Gentle);9404;Formula, prepared from powder;67;1.48;7.45;7.45;0;3.41;1.429;1.24;0.661;0;61;61;0;0;0;0;0;0.067;0.094;0.703;0.05;10;0;17;10;16.1;0.22;0.22;6.7;1;0.59;0.59;5.4;47;25;6;1.01;0.55;0.062;2;72;22;0;0;0;0;0.009;0.057;0.038;0.303;0.133;0.757;0.133;0.01;1.221;0.009;0;0.568;0.064;0;0.019;0;0;0.009;87.1
11710914;Infant formula, liquid concentrate, made with tap water (Gerber Good Start Gentle);9406;Formula, prepared from concentrate;67;1.48;7.45;7.45;0;3.41;1.429;1.24;0.661;0;61;61;0;0;0;0;0;0.067;0.094;0.703;0.05;10;0;17;10;16.1;0.22;0.22;6.7;1;0.59;0.59;5.4;47;25;6;1.01;0.55;0.062;2;72;22;0;0;0;0;0.009;0.057;0.038;0.303;0.133;0.757;0.133;0.01;1.221;0.009;0;0.568;0.064;0;0.019;0;0;0.009;87.1
11710915;Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Gentle);9406;Formula, prepared from concentrate;67;1.48;7.45;7.45;0;3.41;1.429;1.24;0.661;0;61;61;0;0;0;0;0;0.067;0.094;0.703;0.05;10;0;17;10;16.1;0.22;0.22;6.7;1;0.59;0.59;5.4;54;25;6;1.01;0.54;0.06;2;72;20;0;0;0;0;0.009;0.057;0.038;0.303;0.133;0.757;0.133;0.01;1.221;0.009;0;0.568;0.064;0;0.019;0;0;0.009;87.18
11710916;Infant formula, liquid concentrate, made with baby water (Gerber Good Start Gentle);9406;Formula, prepared from concentrate;67;1.48;7.45;7.45;0;3.41;1.429;1.24;0.661;0;61;61;0;0;0;0;0;0.067;0.094;0.703;0.05;10;0;17;10;16.1;0.22;0.22;6.7;1;0.59;0.59;5.4;45;25;5;1.01;0.54;0.054;2;72;18;0;0;0;0;0.009;0.057;0.038;0.303;0.133;0.757;0.133;0.01;1.221;0.009;0;0.568;0.064;0;0.019;0;0;0.009;87.1
11710917;Infant formula, powder, made with tap water (Gerber Good Start Gentle);9404;Formula, prepared from powder;67;1.48;7.45;7.45;0;3.41;1.429;1.24;0.661;0;61;61;0;0;0;0;0;0.067;0.094;0.703;0.05;10;0;17;10;16.1;0.22;0.22;6.7;1;0.59;0.59;5.4;47;25;6;1.01;0.55;0.062;2;72;22;0;0;0;0;0.009;0.057;0.038;0.303;0.133;0.757;0.133;0.01;1.221;0.009;0;0.568;0.064;0;0.019;0;0;0.009;87.1
11710918;Infant formula, powder, made with plain bottled water (Gerber Good Start Gentle);9404;Formula, prepared from powder;67;1.48;7.45;7.45;0;3.41;1.429;1.24;0.661;0;61;61;0;0;0;0;0;0.067;0.094;0.703;0.05;10;0;17;10;16.1;0.22;0.22;6.7;1;0.59;0.59;5.4;54;25;6;1.01;0.54;0.06;2;72;20;0;0;0;0;0.009;0.057;0.038;0.303;0.133;0.757;0.133;0.01;1.221;0.009;0;0.568;0.064;0;0.019;0;0;0.009;87.18
11710919;Infant formula, powder, made with baby water (Gerber Good Start Gentle);9404;Formula, prepared from powder;67;1.48;7.45;7.45;0;3.41;1.429;1.24;0.661;0;61;61;0;0;0;0;0;0.067;0.094;0.703;0.05;10;0;17;10;16.1;0.22;0.22;6.7;1;0.59;0.59;5.4;45;25;5;1.01;0.54;0.054;2;72;18;0;0;0;0;0.009;0.057;0.038;0.303;0.133;0.757;0.133;0.01;1.221;0.009;0;0.568;0.064;0;0.019;0;0;0.009;87.1
11710920;Infant formula, NS as to form (Gerber Good Start Protect);9402;Formula, ready-to-feed;67;1.48;7.45;7.45;0;3.41;1.429;1.24;0.661;0;61;61;0;0;0;0;0;0.067;0.094;0.703;0.05;10;0;17;10;16.1;0.22;0.22;6.7;1;0.59;0.59;5.4;47;25;6;1.01;0.55;0.062;2;72;22;0;0;0;0;0.009;0.057;0.038;0.303;0.133;0.757;0.133;0.01;1.221;0.009;0;0.568;0.064;0;0.019;0;0;0.009;87.1
11710923;Infant formula, powder, made with water, NFS (Gerber Good Start Protect);9404;Formula, prepared from powder;67;1.48;7.45;7.45;0;3.41;1.429;1.24;0.661;0;61;61;0;0;0;0;0;0.067;0.094;0.703;0.05;10;0;17;10;16.1;0.22;0.22;6.7;1;0.59;0.59;5.4;47;25;6;1.01;0.55;0.062;2;72;22;0;0;0;0;0.009;0.057;0.038;0.303;0.133;0.757;0.133;0.01;1.221;0.009;0;0.568;0.064;0;0.019;0;0;0.009;87.1
11710927;Infant formula, powder, made with tap water (Gerber Good Start Protect);9404;Formula, prepared from powder;67;1.48;7.45;7.45;0;3.41;1.429;1.24;0.661;0;61;61;0;0;0;0;0;0.067;0.094;0.703;0.05;10;0;17;10;16.1;0.22;0.22;6.7;1;0.59;0.59;5.4;47;25;6;1.01;0.55;0.062;2;72;22;0;0;0;0;0.009;0.057;0.038;0.303;0.133;0.757;0.133;0.01;1.221;0.009;0;0.568;0.064;0;0.019;0;0;0.009;87.1
11710928;Infant formula, powder, made with plain bottled water (Gerber Good Start Protect);9404;Formula, prepared from powder;67;1.48;7.45;7.45;0;3.41;1.429;1.24;0.661;0;61;61;0;0;0;0;0;0.067;0.094;0.703;0.05;10;0;17;10;16.1;0.22;0.22;6.7;1;0.59;0.59;5.4;54;25;6;1.01;0.54;0.06;2;72;20;0;0;0;0;0.009;0.057;0.038;0.303;0.133;0.757;0.133;0.01;1.221;0.009;0;0.568;0.064;0;0.019;0;0;0.009;87.18
11710929;Infant formula, powder, made with baby water (Gerber Good Start Protect);9404;Formula, prepared from powder;67;1.48;7.45;7.45;0;3.41;1.429;1.24;0.661;0;61;61;0;0;0;0;0;0.067;0.094;0.703;0.05;10;0;17;10;16.1;0.22;0.22;6.7;1;0.59;0.59;5.4;45;25;5;1.01;0.54;0.054;2;72;18;0;0;0;0;0.009;0.057;0.038;0.303;0.133;0.757;0.133;0.01;1.221;0.009;0;0.568;0.064;0;0.019;0;0;0.009;87.1
11710930;Infant formula, NS as to form (Gerber Graduates Gentle);9402;Formula, ready-to-feed;64;1.41;7.46;7.46;0;3.28;1.374;1.193;0.635;0;58;58;0;0;0;0;0;0.064;0.09;0.675;0.048;10;0;16;10;15.4;0.21;0.21;7.7;1;0.58;0.58;5.1;125;68;5;1.28;0.52;0.06;2;69;21;0;0;0;0;0.009;0.055;0.036;0.291;0.127;0.728;0.127;0.009;1.174;0.009;0;0.546;0.062;0;0.018;0;0;0.009;87.17
11710940;Infant formula, NS as to form (Gerber Graduates Protect);9402;Formula, ready-to-feed;64;1.41;7.46;7.46;0;3.28;1.374;1.193;0.635;0;58;58;0;0;0;0;0;0.064;0.09;0.675;0.048;10;0;16;10;15.4;0.21;0.21;7.7;1;0.58;0.58;5.1;125;68;5;1.28;0.52;0.06;2;69;21;0;0;0;0;0.009;0.055;0.036;0.291;0.127;0.728;0.127;0.009;1.174;0.009;0;0.546;0.062;0;0.018;0;0;0.009;87.17
11710960;Infant formula, NS as to form (Store Brand);9402;Formula, ready-to-feed;66;1.38;7.12;7.12;0;3.56;1.342;1.305;0.739;1;59;59;0;0;0;0;0;0.06;0.096;0.67;0.04;10;0;17;10;15.4;0.18;0.18;7;1;0.78;0.78;5.6;54;28;6;1.19;0.59;0.063;1.7;70;20;0;0;0;0;0.008;0.084;0.058;0.397;0.163;0.503;0.129;0.006;1.286;0.008;0.005;0.657;0.067;0;0.021;0;0;0.011;87.46
11710961;Infant formula, liquid concentrate, made with water, NFS (Store Brand);9406;Formula, prepared from concentrate;66;1.38;7.12;7.12;0;3.56;1.342;1.305;0.739;1;59;59;0;0;0;0;0;0.06;0.096;0.67;0.04;10;0;17;10;15.4;0.18;0.18;7;1;0.78;0.78;5.6;54;28;6;1.19;0.59;0.063;1.7;70;20;0;0;0;0;0.008;0.084;0.058;0.397;0.163;0.503;0.129;0.006;1.286;0.008;0.005;0.657;0.067;0;0.021;0;0;0.011;87.46
11710962;Infant formula, powder, made with water, NFS (Store Brand);9404;Formula, prepared from powder;66;1.38;7.12;7.12;0;3.56;1.342;1.305;0.739;1;59;59;0;0;0;0;0;0.06;0.096;0.67;0.04;10;0;17;10;15.4;0.18;0.18;7;1;0.78;0.78;5.6;54;28;6;1.19;0.59;0.063;1.7;70;20;0;0;0;0;0.008;0.084;0.058;0.397;0.163;0.503;0.129;0.006;1.286;0.008;0.005;0.657;0.067;0;0.021;0;0;0.011;87.46
11710963;Infant formula, ready-to-feed (Store Brand);9402;Formula, ready-to-feed;66;1.38;7.12;7.12;0;3.56;1.342;1.305;0.739;1;59;59;0;0;0;0;0;0.06;0.096;0.67;0.04;10;0;17;10;15.4;0.18;0.18;7;1;0.78;0.78;5.6;54;28;6;1.19;0.59;0.063;1.7;70;20;0;0;0;0;0.008;0.084;0.058;0.397;0.163;0.503;0.129;0.006;1.286;0.008;0.005;0.657;0.067;0;0.021;0;0;0.011;87.46
11710964;Infant formula, liquid concentrate, made with tap water (Store Brand);9406;Formula, prepared from concentrate;66;1.38;7.12;7.12;0;3.56;1.342;1.305;0.739;1;59;59;0;0;0;0;0;0.06;0.096;0.67;0.04;10;0;17;10;15.4;0.18;0.18;7;1;0.78;0.78;5.6;54;28;6;1.19;0.59;0.063;1.7;70;20;0;0;0;0;0.008;0.084;0.058;0.397;0.163;0.503;0.129;0.006;1.286;0.008;0.005;0.657;0.067;0;0.021;0;0;0.011;87.46
11710965;Infant formula, liquid concentrate, made with plain bottled water (Store Brand);9406;Formula, prepared from concentrate;66;1.38;7.12;7.12;0;3.56;1.342;1.305;0.739;1;59;59;0;0;0;0;0;0.06;0.096;0.67;0.04;10;0;17;10;15.4;0.18;0.18;7;1;0.78;0.78;5.6;60;28;6;1.19;0.58;0.06;1.7;70;19;0;0;0;0;0.008;0.084;0.058;0.397;0.163;0.503;0.129;0.006;1.286;0.008;0.005;0.657;0.067;0;0.021;0;0;0.011;87.53
11710966;Infant formula, liquid concentrate, made with baby water (Store Brand);9406;Formula, prepared from concentrate;66;1.38;7.12;7.12;0;3.56;1.342;1.305;0.739;1;59;59;0;0;0;0;0;0.06;0.096;0.67;0.04;10;0;17;10;15.4;0.18;0.18;7;1;0.78;0.78;5.6;51;28;5;1.19;0.58;0.054;1.7;70;17;0;0;0;0;0.008;0.084;0.058;0.397;0.163;0.503;0.129;0.006;1.286;0.008;0.005;0.657;0.067;0;0.021;0;0;0.011;87.46
